"type","rule","sev","file","line","msg"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/btn-mail-user/btn-mail-user-dialog/btn-mail-user-dialog.component.scss","34","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/btn-profile/btn-profile.component.scss","34","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","98","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","186","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","200","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","217","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","241","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","256","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","274","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","286","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","321","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/collection/src/lib/player-video-popup/player-video-popup-component.scss","332","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/utils/src/lib/components/image-crop/image-crop.component.scss","13","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","library/ws-widget/utils/src/lib/components/image-crop/image-crop.component.scss","21","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/app/src/lib/routes/app-toc/components/app-toc-banner/app-toc-banner.component.scss","48","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/app/src/lib/routes/org/components/org/org.component.scss","231","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/app/src/lib/routes/org/components/org/org.component.scss","252","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/app/src/lib/routes/org/components/org/org.component.scss","472","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/app/src/lib/routes/org/components/org/org.component.scss","492","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/app/src/lib/routes/org/components/org/org.component.scss","525","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/app/src/lib/routes/search/components/item-tile/item-tile.component.scss","130","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/author/src/lib/modules/shared/components/certificate-upload-dialog/certificate-upload-dialog.component.scss","16","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/author/src/lib/modules/shared/components/certificate-upload-dialog/certificate-upload-dialog.component.scss","28","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/author/src/lib/modules/shared/components/certificate-upload-dialog/certificate-upload-dialog.component.scss","61","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/author/src/lib/modules/shared/components/certificate-upload-dialog/certificate-upload-dialog.component.scss","113","Unexpected missing generic font family"
"BUG","css:S4649","MAJOR","project/ws/author/src/lib/modules/shared/components/confirm-dialog/confirm-dialog.component.scss","161","Unexpected missing generic font family"
